anio,mes,Coquimbo,Valparaiso,Metropolitana_de_Santiago,Libertador_Gral__Bernardo_O_Higgins,Maule,Biobio,La_Araucania,Los_Rios
1989,2,0.71903267610039,0.11704545412454499,0.0282718120705361,0.0,0.724667221561892,9.17294548227987,22.595833968680395,52.2680103760357
1998,10,0.0652156866940798,0.0,0.011493288230576,0.0,0.008968385999492321,2.0896742016750802,14.702086821717698,45.1420413271093
2001,2,2.0300261408821,0.0479870128155045,0.00263422820092048,0.0,0.032163061547137994,10.7683510615471,29.465057085782398,65.57109822906571
2008,11,0.622784313764058,0.0,0.0158724833979903,0.0,1.7341680549915701,25.083557174402298,64.9016450248596,113.093488402453
2009,4,0.00806535949894026,0.0,0.00939597324436943,0.0,12.0807154738219,56.233424220313395,96.3642345117597,155.622235310478
2015,1,0.23936601379046302,0.0256168829797247,0.365453019178779,0.0,0.0119217969213741,0.0011702127596165302,0.00533130239505216,1.46281654122033
2016,3,1.41033986638744,0.17374999927925303,0.0568959731764891,0.0,0.464600666811978,15.188883002035,28.3148590815676,42.0458656355392
2020,3,0.0034509803921568103,0.000665584415584364,0.0,0.0,0.11556572379367698,12.4626994680851,28.3109367859863,73.64086563307491
1988,12,3.6053856212597104,7.68646102329692,5.764244970034231,1.35336434706295,5.67035774568316,29.855126354764103,61.4189413176723,105.088927537588
2015,12,0.27273856163438803,0.28308441702808695,0.6887919481081151,0.410341083079345,0.513311147451178,20.054594385321302,71.4964813238232,103.072700465988
2009,9,5.380522875441541,46.0663960630243,124.17848972986201,123.31043393038999,114.079010006592,109.260226006204,109.588255900421,126.2610078856
2003,1,1.03658823550624,10.1323051986756,25.9863087770923,36.6756123661071,38.3963893713451,29.4429455000035,42.712360912665794,94.6454262006498
1989,3,0.358470588143355,1.1314123403281,0.6805369142605451,4.73079069407527,17.153985021515,28.7535970642212,48.275338919945405,96.8724935319689
2000,11,4.09117647601791,13.613733766914999,38.4891443600591,39.3993178728015,33.1526207142384,46.4723737100337,82.7037014928558,122.24873397886299
2008,3,7.741222228309491,15.181704560657598,20.02199665332,17.0795503950858,8.8304409227038,14.2623670115136,34.102124903495806,81.1832685938793
2000,1,0.799379085076157,0.143084416444135,0.136979865610299,0.0854108526378639,2.48235441626556,14.563809836659802,34.5151713589903,51.961912221686795
2006,8,4.38775816847588,37.2749350283827,84.05989928853592,150.059844929303,229.26054935804402,283.09750683764196,272.243214138754,300.834508693804
1989,7,35.8743333264065,116.810032578258,142.731594348114,179.701565575415,220.705632677888,253.455132869964,278.503770013302,360.22785515994696
1984,12,0.308771243058389,0.18154220824891898,0.453523490271662,0.11134883908973599,0.563818636110142,7.48089095734015,30.2052246874818,73.68771323861999
2001,4,6.413627453759509,19.8462987217036,31.536241572975303,47.6907595996709,57.183003328802606,62.4178125236897,76.7760320069312,110.260142023249
1997,4,0.0456274508845572,4.57758116489579,16.543439591691,64.28440311195311,209.66470075407398,342.14722713511003,383.86559843599406,441.43697712033304
1997,3,4.11737908317762,5.6402922196725,11.761291940134,15.4206511887469,12.2917637412317,7.55726063143006,8.548476779100008,28.7000387842341
1982,12,0.844163397201672,0.174902596885895,4.41241610126457,4.2358604660012205,2.21919301397689,1.7297406921366298,2.8347905519456,17.6163953324005
1998,12,0.46676470616503707,0.727873377855746,5.1491946401012,4.03051162962766,28.2174459441926,25.789222094923897,46.056108101396596,62.1228552357479
2007,10,1.56407189563988,0.968490259256214,2.67850670188465,3.7863100656532,17.8921547489436,47.3558909480876,108.896862083778,213.97546542460898
1996,6,25.233751624710603,53.123847459817895,57.9478524403284,126.425116215196,176.91133106250703,178.16116355835098,171.833328229638,194.22704132829202
2015,3,25.862888923694,5.890649353214481,6.855453008992111,6.081255806416499,6.59302829553105,1.94892287268576,10.0374562028861,61.400762185877895
1992,8,51.4885685903245,95.1558441775186,100.688422737506,150.273131851078,153.85497495299,149.704567670822,137.027943700484,178.806925071302
1998,1,0.319013070912873,0.00024350650318257202,0.0101845638713981,0.00235658921012583,0.34801164574722804,4.38079122750168,19.7184843483813,49.248669292883704
2006,3,0.127941176049363,0.0371915582543263,0.19901006821943,0.625457364251447,0.74248752201568,30.0431582555162,74.915392225604,132.3113825697
1985,3,6.1660980431874295,14.593474025076098,15.922449706384802,20.0996589165325,27.5679450971315,53.21741362581861,84.630297150216,124.212997490737
2011,9,0.114169934216668,2.36409091264578,10.8890268616785,21.0063255647356,54.8534940506972,120.620951023508,185.052482819975,277.892467745207
1983,1,3.6782483672029196,11.7443506421594,14.897164413192899,6.07404651922253,24.379284539754302,74.57209442777841,89.01971072671259,98.2435141620094
2010,3,0.000320261444141662,0.00222402597571929,0.0118624160828806,0.0530542632290559,0.0254575706609275,20.6517686088114,62.8661766778578,112.63461236682699
1979,10,0.0186339869121321,0.558100646869703,10.871275198239601,14.5570077502912,11.2389018310237,51.010498717189506,121.420487422028,177.008294443135
2005,8,55.286026090110795,156.602970730175,262.204278037052,321.506883913972,370.539558842258,319.56962710238497,309.239939414356,342.45344937741004
1999,4,12.054248384907401,14.5142532564796,18.5064094248634,16.072790698487598,18.7313311250753,35.7172805952265,48.89204109305199,68.9243927716593
